,start_hour,subscriber,customer,total,pct
1,0:00,12752,6047,18799,0.008042195
2,1:00,7851,5206,13057,0.005585772
3,2:00,4841,3218,8059,0.003447633
4,3:00,1835,950,2785,0.00119142
5,4:00,2371,714,3085,0.00131976
6,5:00,12168,1474,13642,0.005836035
7,6:00,40364,3673,44037,0.018838988
8,7:00,112116,8681,120797,0.051676844
9,8:00,193990,17014,211004,0.090267315
10,9:00,112356,16427,128783,0.055093247
11,10:00,72272,21810,94082,0.040248192
12,11:00,77060,28690,105750,0.045239751
13,12:00,88803,34987,123790,0.052957247
14,13:00,85193,37652,122845,0.052552976
15,14:00,83563,39832,123395,0.052788266
16,15:00,98919,41859,140778,0.060224697
17,16:00,156537,44979,201516,0.086208357
18,17:00,217103,50380,267483,0.114428978
19,18:00,159706,40982,200688,0.085854139
20,19:00,110603,30009,140612,0.060153683
21,20:00,76813,20059,96872,0.041441751
22,21:00,55424,15570,70994,0.030371167
23,22:00,38457,13291,51748,0.022137746
24,23:00,23154,9791,32945,0.01409384
