,start_hour,subscriber,customer,total,pct,all_boston_pct
1,0:00,97,65,162,0.014540885,0.008042195
2,1:00,57,28,85,0.007629477,0.005585772
3,2:00,33,23,56,0.005026479,0.003447633
4,3:00,16,3,19,0.001705412,0.00119142
5,4:00,44,4,48,0.00430841,0.00131976
6,5:00,171,27,198,0.017772193,0.005836035
7,6:00,584,42,626,0.056188852,0.018838988
8,7:00,831,68,899,0.080692936,0.051676844
9,8:00,859,86,945,0.084821829,0.090267315
10,9:00,466,66,532,0.047751548,0.055093247
11,10:00,294,70,364,0.032672112,0.040248192
12,11:00,413,90,503,0.04514855,0.045239751
13,12:00,352,105,457,0.041019657,0.052957247
14,13:00,418,142,560,0.050264788,0.052552976
15,14:00,423,128,551,0.049456961,0.052788266
16,15:00,412,146,558,0.050085271,0.060224697
17,16:00,445,159,604,0.054214164,0.086208357
18,17:00,848,174,1022,0.091733238,0.114428978
19,18:00,735,202,937,0.084103761,0.085854139
20,19:00,519,200,719,0.064536397,0.060153683
21,20:00,327,123,450,0.040391347,0.041441751
22,21:00,300,88,388,0.034826317,0.030371167
23,22:00,180,59,239,0.021452293,0.022137746
24,23:00,150,69,219,0.019657122,0.01409384
