,end_hour,subscriber,customer,total,pct,all_boston_pct
1,0:00,101,30,131,0.00665955,0.009157467
2,1:00,57,32,89,0.004524427,0.005991326
3,2:00,44,34,78,0.003965228,0.004081631
4,3:00,8,15,23,0.001169234,0.001629059
5,4:00,5,4,9,0.000457526,0.001226072
6,5:00,66,8,74,0.003761883,0.004716913
7,6:00,329,14,343,0.017436836,0.015358842
8,7:00,1101,31,1132,0.057546642,0.042211362
9,8:00,1370,57,1427,0.072543338,0.08659466
10,9:00,1350,62,1412,0.071780794,0.062567325
11,10:00,646,78,724,0.03680545,0.039552163
12,11:00,583,96,679,0.034517818,0.041881529
13,12:00,783,111,894,0.045447613,0.05114124
14,13:00,750,124,874,0.044430888,0.052448166
15,14:00,739,119,858,0.043617508,0.0514638
16,15:00,714,196,910,0.046260993,0.058056612
17,16:00,1204,158,1362,0.069238981,0.079465816
18,17:00,2117,284,2401,0.122057852,0.112944088
19,18:00,1939,228,2167,0.110162168,0.093224262
20,19:00,1440,206,1646,0.083676478,0.066680185
21,20:00,916,134,1050,0.053378069,0.046199305
22,21:00,597,101,698,0.035483707,0.033278489
23,22:00,335,88,423,0.021503736,0.023908407
24,23:00,214,53,267,0.01357328,0.016221285
