yearmonth,count,gender
2018-10,134067,male
2018-11,85108,male
2018-12,58954,male
2019-01,52134,male
2019-02,59541,male
2019-03,71803,male
2019-04,108715,male
2019-05,142125,male
2019-06,169448,male
2019-07,197689,male
2019-08,210825,male
2019-09,233011,male
2018-10,46991,female
2018-11,28077,female
2018-12,18119,female
2019-01,14476,female
2019-02,16389,female
2019-03,21296,female
2019-04,36795,female
2019-05,50811,female
2019-06,65270,female
2019-07,78707,female
2019-08,83149,female
2019-09,89258,female
2018-10,19042,unreported
2018-11,8234,unreported
2018-12,4888,unreported
2019-01,3262,unreported
2019-02,4536,unreported
2019-03,9270,unreported
2019-04,21184,unreported
2019-05,30148,unreported
2019-06,39304,unreported
2019-07,40535,unreported
2019-08,43469,unreported
2019-09,40916,unreported
