,end_hour,subscriber,customer,total,pct,all_boston_pct
1,0:00,45,12,57,0.006301824,0.009157467
2,1:00,48,18,66,0.007296849,0.005991326
3,2:00,19,5,24,0.0026534,0.004081631
4,3:00,11,5,16,0.001768933,0.001629059
5,4:00,6,4,10,0.001105583,0.001226072
6,5:00,3,1,4,0.000442233,0.004716913
7,6:00,42,3,45,0.004975124,0.015358842
8,7:00,201,5,206,0.022775014,0.042211362
9,8:00,379,14,393,0.04344942,0.08659466
10,9:00,234,21,255,0.028192371,0.062567325
11,10:00,197,36,233,0.025760088,0.039552163
12,11:00,303,46,349,0.038584854,0.041881529
13,12:00,341,51,392,0.043338861,0.05114124
14,13:00,408,64,472,0.052183527,0.052448166
15,14:00,372,100,472,0.052183527,0.0514638
16,15:00,492,90,582,0.064344942,0.058056612
17,16:00,780,155,935,0.103372029,0.079465816
18,17:00,1315,173,1488,0.164510779,0.112944088
19,18:00,1009,141,1150,0.127142067,0.093224262
20,19:00,616,113,729,0.080597015,0.066680185
21,20:00,438,75,513,0.056716418,0.046199305
22,21:00,236,36,272,0.030071863,0.033278489
23,22:00,230,24,254,0.028081813,0.023908407
24,23:00,109,19,128,0.014151465,0.016221285
