,start_hour,subscriber,customer,total,pct,all_boston_pct
1,0:00,30,6,36,0.003701799,0.008042195
2,1:00,16,11,27,0.00277635,0.005585772
3,2:00,10,10,20,0.002056555,0.003447633
4,3:00,3,2,5,0.000514139,0.00119142
5,4:00,3,2,5,0.000514139,0.00131976
6,5:00,233,13,246,0.02529563,0.005836035
7,6:00,597,14,611,0.062827763,0.018838988
8,7:00,856,46,902,0.092750643,0.051676844
9,8:00,1223,51,1274,0.131002571,0.090267315
10,9:00,562,33,595,0.061182519,0.055093247
11,10:00,364,65,429,0.044113111,0.040248192
12,11:00,390,65,455,0.046786632,0.045239751
13,12:00,410,85,495,0.050899743,0.052957247
14,13:00,384,83,467,0.048020566,0.052552976
15,14:00,347,94,441,0.045347044,0.052788266
16,15:00,426,85,511,0.052544987,0.060224697
17,16:00,495,90,585,0.060154242,0.086208357
18,17:00,649,107,756,0.077737789,0.114428978
19,18:00,593,107,700,0.071979434,0.085854139
20,19:00,447,76,523,0.05377892,0.060153683
21,20:00,239,49,288,0.029614396,0.041441751
22,21:00,148,20,168,0.017275064,0.030371167
23,22:00,101,17,118,0.012133676,0.022137746
24,23:00,50,18,68,0.006992288,0.01409384
