,end_hour,subscriber,customer,total,pct,all_boston_pct
1,0:00,88,42,130,0.019504876,0.009157467
2,1:00,62,29,91,0.013653413,0.005991326
3,2:00,29,23,52,0.00780195,0.004081631
4,3:00,9,13,22,0.003300825,0.001629059
5,4:00,5,2,7,0.001050263,0.001226072
6,5:00,8,0,8,0.0012003,0.004716913
7,6:00,14,3,17,0.002550638,0.015358842
8,7:00,59,4,63,0.009452363,0.042211362
9,8:00,91,33,124,0.018604651,0.08659466
10,9:00,139,15,154,0.023105776,0.062567325
11,10:00,115,31,146,0.021905476,0.039552163
12,11:00,147,23,170,0.025506377,0.041881529
13,12:00,191,50,241,0.03615904,0.05114124
14,13:00,242,61,303,0.045461365,0.052448166
15,14:00,248,59,307,0.046061515,0.0514638
16,15:00,305,75,380,0.057014254,0.058056612
17,16:00,405,83,488,0.073218305,0.079465816
18,17:00,854,124,978,0.146736684,0.112944088
19,18:00,714,133,847,0.12708177,0.093224262
20,19:00,613,114,727,0.109077269,0.066680185
21,20:00,456,90,546,0.08192048,0.046199305
22,21:00,333,72,405,0.060765191,0.033278489
23,22:00,238,59,297,0.04456114,0.023908407
24,23:00,122,40,162,0.024306077,0.016221285
