,start_hour,subscriber,customer,total,pct,all_boston_pct
1,0:00,36,15,51,0.007214599,0.008042195
2,1:00,24,15,39,0.005517046,0.005585772
3,2:00,18,10,28,0.003960956,0.003447633
4,3:00,8,10,18,0.002546329,0.00119142
5,4:00,8,4,12,0.001697553,0.00131976
6,5:00,42,4,46,0.006507285,0.005836035
7,6:00,199,18,217,0.030697411,0.018838988
8,7:00,659,55,714,0.101004385,0.051676844
9,8:00,941,84,1025,0.144999293,0.090267315
10,9:00,506,47,553,0.078228887,0.055093247
11,10:00,306,47,353,0.049936342,0.040248192
12,11:00,289,60,349,0.049370491,0.045239751
13,12:00,237,97,334,0.04724855,0.052957247
14,13:00,228,108,336,0.047531475,0.052552976
15,14:00,197,79,276,0.039043712,0.052788266
16,15:00,212,92,304,0.043004668,0.060224697
17,16:00,270,94,364,0.051492432,0.086208357
18,17:00,322,102,424,0.059980195,0.114428978
19,18:00,402,125,527,0.074550856,0.085854139
20,19:00,300,99,399,0.056443627,0.060153683
21,20:00,222,42,264,0.037346159,0.041441751
22,21:00,149,52,201,0.028434008,0.030371167
23,22:00,95,39,134,0.018956005,0.022137746
24,23:00,64,37,101,0.014287735,0.01409384
